area code,population,num_market,num_gyms,num_tube,num_school,num_restuarant,num_bus,cases
E02000001,8706,35,36,11,0,13,65,88
E02000002,7720,1,0,0,2,0,11,41
E02000003,11051,2,0,0,3,0,11,65
E02000004,6586,0,2,0,2,0,3,42
E02000005,10229,3,1,0,3,0,9,57
E02000007,10123,1,1,0,1,0,8,56
E02000008,12635,1,1,0,4,0,12,77
E02000009,11592,1,0,0,3,0,7,73
E02000010,9197,0,0,0,2,0,5,57
E02000011,6983,1,2,1,2,0,9,39
E02000012,11290,0,1,1,3,0,4,61
E02000013,8899,1,1,1,2,1,6,54
E02000014,10016,3,0,1,4,0,11,60
E02000015,8069,0,0,0,1,0,12,52
E02000016,9944,5,2,1,3,7,13,48
E02000017,9331,0,1,0,2,0,4,45
E02000018,9789,1,1,0,1,0,12,58
E02000019,9148,1,1,0,3,0,7,52
E02000020,13015,1,0,0,2,1,17,76
E02000021,8970,1,1,0,4,0,6,51
E02000022,8354,0,0,0,2,0,8,39
E02000023,7985,0,1,0,3,0,9,39
E02000024,10988,5,3,1,7,6,15,78
E02000025,8451,0,2,0,3,1,9,57
E02000026,6629,0,0,0,3,0,7,38
E02000027,9753,1,0,0,2,0,11,67
E02000028,6693,1,0,0,0,0,12,49
E02000029,9382,3,1,0,5,1,9,65
E02000030,9288,0,1,1,6,2,21,61
E02000031,7728,2,1,0,5,13,17,66
E02000032,7883,1,2,0,4,1,7,51
E02000033,8919,1,2,0,1,0,15,56
E02000034,9276,1,0,0,1,0,5,59
E02000035,9003,1,0,1,2,5,7,59
E02000036,11577,1,0,0,4,1,12,80
E02000037,10378,1,1,0,4,0,10,75
E02000038,11532,3,1,0,4,1,14,81
E02000039,7268,3,2,0,2,6,13,56
E02000040,8200,2,1,1,5,0,19,65
E02000041,9971,4,1,1,1,1,13,68
E02000042,12149,4,2,0,7,1,12,80
E02000043,8195,0,0,1,3,0,6,62
E02000044,8874,1,0,0,2,1,7,55
E02000045,10908,1,1,0,2,0,10,70
E02000046,7582,1,1,0,1,3,10,52
E02000047,12398,0,1,1,5,0,10,74
E02000048,10645,2,3,1,3,2,9,78
E02000049,9292,1,1,0,2,0,7,57
E02000050,10905,1,3,0,3,4,16,75
E02000051,9686,0,1,0,3,1,23,74
E02000052,10586,2,0,0,3,2,5,79
E02000053,15643,2,1,1,1,2,11,115
E02000054,7616,1,1,0,3,0,10,52
E02000055,11861,4,3,1,2,6,10,85
E02000056,9357,0,0,1,1,0,25,84
E02000057,8147,1,0,0,2,0,11,66
E02000058,10949,2,1,0,5,4,8,77
E02000059,11658,1,0,0,2,2,7,66
E02000060,12358,2,1,1,1,3,11,90
E02000061,8980,2,1,1,1,3,16,68
E02000062,6826,2,3,0,3,1,15,42
E02000063,7755,0,0,0,2,1,5,49
E02000064,6851,1,0,0,2,1,7,47
E02000065,8992,0,1,0,2,0,9,35
E02000066,10069,0,0,0,3,0,16,47
E02000067,10267,3,1,0,3,0,11,60
E02000068,8162,3,1,0,0,0,11,42
E02000069,6756,0,1,0,3,0,13,43
E02000070,8064,0,0,0,2,0,11,47
E02000071,7658,1,1,0,4,0,6,50
E02000072,12851,1,0,0,1,0,23,73
E02000073,10922,3,0,0,3,0,12,71
E02000074,8527,0,1,0,1,0,6,55
E02000075,8261,2,0,0,2,2,12,52
E02000077,8241,2,0,0,2,0,4,53
E02000078,7913,0,0,0,3,0,9,55
E02000079,8660,6,5,0,2,15,14,64
E02000080,10174,3,1,0,4,2,11,67
E02000081,8037,0,0,0,5,1,15,58
E02000082,9211,2,1,0,3,1,11,62
E02000083,11420,3,4,0,3,1,17,76
E02000084,11027,1,2,0,4,1,19,73
E02000085,8004,2,0,0,2,0,8,49
E02000086,7314,1,1,0,5,0,7,43
E02000087,8059,0,2,0,2,10,15,51
E02000088,7794,1,0,0,2,0,14,53
E02000089,7908,1,0,0,1,2,4,57
E02000090,9542,4,3,0,3,11,16,67
